具体行业,性质ID,性质名称
玻璃玻纤,A,重资产周期
涂料油墨,A,重资产周期
专用设备,D,中游制造
综合电商,C,现金流消费
医疗耗材,C,现金流消费
纺织服装设备,D,中游制造
医疗服务,C,现金流消费
其他纺织,C,现金流消费
娱乐用品,C,现金流消费
其他家居用品,C,现金流消费
成品家居,C,现金流消费
轨交设备Ⅲ,D,中游制造
轨交设备Ⅱ,D,中游制造
房屋建设Ⅲ,F,农业/公共服务
房屋建设Ⅱ,F,农业/公共服务
水务及水治理,F,农业/公共服务
氨纶,A,重资产周期
商用车,D,中游制造
综合包装,D,中游制造
定制家居,C,现金流消费
其他医疗服务,C,现金流消费
印染,A,重资产周期
体外诊断,B,轻资产成长
轮胎轮毂,D,中游制造
电池化学品,B,轻资产成长
造纸,A,重资产周期
航空装备Ⅲ,B,轻资产成长
航空装备Ⅱ,B,轻资产成长
医美服务,C,现金流消费
建筑装饰,F,农业/公共服务
运动服装,C,现金流消费
横向通用软件,B,轻资产成长
医疗器械,B,轻资产成长
其他计算机设备,B,轻资产成长
集成电路制造,B,轻资产成长
生物制品,B,轻资产成长
美容护理,C,现金流消费
鞋帽及其他,C,现金流消费
化学制剂,B,轻资产成长
其他能源发电,A,重资产周期
装修建材,D,中游制造
环保设备Ⅲ,D,中游制造
环保设备Ⅱ,D,中游制造
基础建设,F,农业/公共服务
专业连锁Ⅲ,C,现金流消费
专业连锁Ⅱ,C,现金流消费
化学纤维,A,重资产周期
家用电器,C,现金流消费
家居用品,C,现金流消费
国防军工,B,轻资产成长
风电零部件,D,中游制造
轻工制造,C,现金流消费
汽车综合服务,D,中游制造
风电设备,D,中游制造
化学制药,B,轻资产成长
环保,F,农业/公共服务
其他黑色家电,C,现金流消费
摩托车,D,中游制造
清洁小家电,C,现金流消费
包装印刷,D,中游制造
环境治理,F,农业/公共服务
钴,A,重资产周期
品牌消费电子,C,现金流消费
医药生物,C,现金流消费
检测服务,B,轻资产成长
文娱用品,C,现金流消费
铜,A,重资产周期
旅游及景区,C,现金流消费
风电整机,D,中游制造
酒店,C,现金流消费
服装家纺,C,现金流消费
塑料包装,D,中游制造
化妆品,C,现金流消费
医疗设备,B,轻资产成长
自然景区,C,现金流消费
医疗美容,C,现金流消费
非运动服装,C,现金流消费
黑色家电,C,现金流消费
纸包装,D,中游制造
建筑材料,A,重资产周期
商用载客车,D,中游制造
航空运输,A,重资产周期
化学工程,F,农业/公共服务
照明设备Ⅲ,D,中游制造
照明设备Ⅱ,D,中游制造
LED,B,轻资产成长
其他电源设备Ⅱ,D,中游制造
辅料,D,中游制造
医美耗材,C,现金流消费
农用机械,D,中游制造
固废治理,F,农业/公共服务
综合环境治理,F,农业/公共服务
端到端供应链服务,F,农业/公共服务
专业服务,C,现金流消费
摩托车及其他,D,中游制造
原料药,B,轻资产成长
学历教育,C,现金流消费
通信工程及服务,F,农业/公共服务
特种纸,A,重资产周期
纺织服饰,C,现金流消费
航海装备Ⅲ,D,中游制造
航海装备Ⅱ,D,中游制造
其他化学纤维,A,重资产周期
耐火材料,A,重资产周期
涤纶,A,重资产周期
基建市政工程,F,农业/公共服务
能源金属,A,重资产周期
瓷砖地板,D,中游制造
其他数字媒体,B,轻资产成长
保险Ⅲ,E,大金融/地产
保险Ⅱ,E,大金融/地产
社会服务,C,现金流消费
纺织制造,D,中游制造
光伏加工设备,D,中游制造
专业工程,F,农业/公共服务
视频媒体,B,轻资产成长
橡胶助剂,A,重资产周期
家纺,C,现金流消费
彩电,C,现金流消费
航空机场,A,重资产周期
有色金属,A,重资产周期
物业管理,C,现金流消费
其他橡胶制品,D,中游制造
畜禽饲料,F,农业/公共服务
锂,A,重资产周期
大气治理,F,农业/公共服务
火电设备,D,中游制造
酒店餐饮,C,现金流消费
其他运输设备,D,中游制造
跨境电商,C,现金流消费
厨房小家电,C,现金流消费
氟化工,A,重资产周期
通信应用增值服务,B,轻资产成长
其他专业服务,C,现金流消费
中药Ⅲ,C,现金流消费
中药Ⅱ,C,现金流消费
钢铁管材,A,重资产周期
跨境物流,F,农业/公共服务
印刷,D,中游制造
电视广播Ⅲ,B,轻资产成长
电视广播Ⅱ,B,轻资产成长
通信服务,B,轻资产成长
水泥制品,A,重资产周期
小家电,C,现金流消费
互联网电商,C,现金流消费
电力设备,D,中游制造
软件开发,B,轻资产成长
其他化学制品,A,重资产周期
汽车服务,D,中游制造
计算机,B,轻资产成长
其他家电Ⅲ,C,现金流消费
其他家电Ⅱ,C,现金流消费
零食,C,现金流消费
贸易Ⅲ,C,现金流消费
贸易Ⅱ,C,现金流消费
品牌化妆品,C,现金流消费
商业物业经营,E,大金融/地产
软饮料,C,现金流消费
烘焙食品,C,现金流消费
其他小金属,A,重资产周期
公交,F,农业/公共服务
住宅开发,E,大金融/地产
房地产服务,E,大金融/地产
航运,A,重资产周期
宠物食品,C,现金流消费
空调,C,现金流消费
啤酒,C,现金流消费
涂料,A,重资产周期
会展服务,C,现金流消费
化学制品,A,重资产周期
橡胶,A,重资产周期
林业Ⅲ,F,农业/公共服务
林业Ⅱ,F,农业/公共服务
厨房电器,C,现金流消费
饮料乳品,C,现金流消费
房地产,E,大金融/地产
其他饰品,C,现金流消费
房地产开发,E,大金融/地产
资产管理,E,大金融/地产
风力发电,A,重资产周期
饲料,F,农业/公共服务
休闲食品,C,现金流消费
商贸零售,C,现金流消费
铅锌,A,重资产周期
纺织鞋类制造,D,中游制造
乳品,C,现金流消费
钢结构,D,中游制造
航天装备Ⅲ,B,轻资产成长
航天装备Ⅱ,B,轻资产成长
大众出版,C,现金流消费
洗护用品,C,现金流消费
核力发电,A,重资产周期
非白酒,C,现金流消费
其他养殖,F,农业/公共服务
饰品,C,现金流消费
钟表珠宝,C,现金流消费
机场,A,重资产周期
厨卫电器,C,现金流消费
垂直应用软件,B,轻资产成长
培训教育,C,现金流消费
种植业,F,农业/公共服务
能源及重型设备,D,中游制造
游戏Ⅲ,B,轻资产成长
游戏Ⅱ,B,轻资产成长
疫苗,B,轻资产成长
保健品,C,现金流消费
电动乘用车,D,中游制造
预加工食品,C,现金流消费
产业地产,E,大金融/地产
教育,C,现金流消费
有机硅,A,重资产周期
航运港口,A,重资产周期
其他酒类,C,现金流消费
诊断服务,B,轻资产成长
金融控股,E,大金融/地产
卫浴制品,D,中游制造
人力资源服务,C,现金流消费
一般零售,C,现金流消费
白色家电,C,现金流消费
食品加工,C,现金流消费
物流,F,农业/公共服务
食品饮料,C,现金流消费
稀土,A,重资产周期
工业金属,A,重资产周期
广告媒体,B,轻资产成长
交通运输,F,农业/公共服务
电商服务,C,现金流消费
多业态零售,C,现金流消费
超市,C,现金流消费
基础化工,A,重资产周期
旅游零售Ⅲ,C,现金流消费
旅游零售Ⅱ,C,现金流消费
食品及饲料添加剂,C,现金流消费
水泥,A,重资产周期
冰洗,C,现金流消费
股份制银行Ⅲ,E,大金融/地产
卫浴电器,C,现金流消费
配电设备,D,中游制造
人工景区,C,现金流消费
餐饮,C,现金流消费
动物保健Ⅲ,F,农业/公共服务
动物保健Ⅱ,F,农业/公共服务
铁路运输,F,农业/公共服务
出版,C,现金流消费
证券Ⅲ,E,大金融/地产
证券Ⅱ,E,大金融/地产
小金属,A,重资产周期
汽车经销商,D,中游制造
生猪养殖,F,农业/公共服务
非银金融,E,大金融/地产
商业地产,E,大金融/地产
光伏发电,A,重资产周期
百货,C,现金流消费
港口,A,重资产周期
传媒,B,轻资产成长
乘用车,D,中游制造
数字媒体,B,轻资产成长
线缆部件及其他,D,中游制造
门户网站,B,轻资产成长
肉制品,C,现金流消费
医药流通,C,现金流消费
海洋捕捞,F,农业/公共服务
渔业,F,农业/公共服务
医药商业,C,现金流消费
热力服务,F,农业/公共服务
信托,E,大金融/地产
铁路公路,F,农业/公共服务
水产养殖,F,农业/公共服务
文化用品,C,现金流消费
锦纶,A,重资产周期
原材料供应链服务,F,农业/公共服务
特钢Ⅲ,A,重资产周期
特钢Ⅱ,A,重资产周期
光伏辅材,D,中游制造
农林牧渔,F,农业/公共服务
多元金融,E,大金融/地产
养殖业,F,农业/公共服务
IT服务Ⅲ,B,轻资产成长
IT服务Ⅱ,B,轻资产成长
硅料硅片,D,中游制造
白酒Ⅲ,C,现金流消费
白酒Ⅱ,C,现金流消费
综合乘用车,D,中游制造
水泥制造,A,重资产周期
调味发酵品Ⅲ,C,现金流消费
调味发酵品Ⅱ,C,现金流消费
贵金属,A,重资产周期
火力发电,A,重资产周期
医院,C,现金流消费
民爆制品,A,重资产周期
公路货运,F,农业/公共服务
血液制品,B,轻资产成长
线下药店,C,现金流消费
教育运营及其他,C,现金流消费
影视动漫制作,B,轻资产成长
图片媒体,B,轻资产成长
电网设备,D,中游制造
聚氨酯,A,重资产周期
炭黑,A,重资产周期
纺织化学制品,A,重资产周期
输变电设备,D,中游制造
电力,A,重资产周期
租赁,E,大金融/地产
铝,A,重资产周期
影视院线,B,轻资产成长
其他农产品加工,F,农业/公共服务
玻璃制造,A,重资产周期
水产饲料,F,农业/公共服务
广告营销,B,轻资产成长
管材,D,中游制造
教育出版,C,现金流消费
高速公路,F,农业/公共服务
地面兵装Ⅲ,B,轻资产成长
地面兵装Ⅱ,B,轻资产成长
营销代理,C,现金流消费
棉纺,D,中游制造
光伏电池组件,D,中游制造
熟食,C,现金流消费
光伏设备,D,中游制造
综合Ⅲ,D,中游制造
综合,D,中游制造
综合Ⅱ,D,中游制造
院线,C,现金流消费
肉鸡养殖,F,农业/公共服务
个护小家电,C,现金流消费
银行,E,大金融/地产
银行Ⅱ,E,大金融/地产
电网自动化设备,D,中游制造
农商行Ⅲ,E,大金融/地产
果蔬加工,F,农业/公共服务
无机盐,A,重资产周期
公用事业,F,农业/公共服务
粮食种植,F,农业/公共服务
期货,E,大金融/地产
城商行Ⅲ,E,大金融/地产
农药,A,重资产周期
农产品加工,F,农业/公共服务
光伏主材,D,中游制造
钼,A,重资产周期
文字媒体,B,轻资产成长
房产租赁经纪,E,大金融/地产
农业综合Ⅲ,F,农业/公共服务
农业综合Ⅱ,F,农业/公共服务
种子,F,农业/公共服务
综合电力设备商,D,中游制造
黄金,A,重资产周期
电工仪器仪表,D,中游制造
钢铁,A,重资产周期
电信运营商,F,农业/公共服务
国有大型银行Ⅲ,E,大金融/地产
电能综合服务,F,农业/公共服务
其他化学原料,A,重资产周期
钨,A,重资产周期
普钢,A,重资产周期
金融信息服务,B,轻资产成长
冶钢辅料,A,重资产周期
水力发电,A,重资产周期
农化制品,A,重资产周期
粮油加工,F,农业/公共服务
板材,A,重资产周期
仓储物流,F,农业/公共服务
磷肥及磷化工,A,重资产周期
其他石化,A,重资产周期
国际工程,F,农业/公共服务
钾肥,A,重资产周期
燃气Ⅲ,F,农业/公共服务
燃气Ⅱ,F,农业/公共服务
冶钢原料,A,重资产周期
复合肥,A,重资产周期
化学原料,A,重资产周期
纯碱,A,重资产周期
铁矿石,A,重资产周期
长材,A,重资产周期
动力煤,A,重资产周期
煤炭开采,A,重资产周期
钛白粉,A,重资产周期
焦煤,A,重资产周期
煤炭,A,重资产周期
氮肥,A,重资产周期
炼化及贸易,A,重资产周期
氯碱,A,重资产周期
逆变器,D,中游制造
储能,D,中游制造
焦炭Ⅲ,A,重资产周期
焦炭Ⅱ,A,重资产周期
油品石化贸易,A,重资产周期
炼油化工,A,重资产周期
煤化工,A,重资产周期
石油石化,A,重资产周期
油气及炼化工程,F,农业/公共服务
油服工程,D,中游制造
油气开采Ⅲ,A,重资产周期
油气开采Ⅱ,A,重资产周期
油田服务,D,中游制造
